File Name,AvgIntensity
20201210_MAK_120HPI_MOI_625_01,17973952
20201210_MAK_120HPI_MOI_625_02,17287196
20201210_MAK_24HPI_MOI_05_01,23122554
20201210_MAK_24HPI_MOI_05_02,23314720
20201210_MAK_24HPI_MOI_125_01,21118543
20201210_MAK_24HPI_MOI_125_02,20617559
20201210_MAK_24HPI_MOI_25_01,23737399
20201210_MAK_24HPI_MOI_25_02,23773170
20201210_MAK_24HPI_MOI_625_01,19632512
20201210_MAK_24HPI_MOI_625_02,18950727
20201210_MAK_72HPI_MOI_05_01,28090816
20201210_MAK_72HPI_MOI_05_02,36664934
20201210_MAK_72HPI_MOI_125_01,17259072
20201210_MAK_72HPI_MOI_125_02,17022916
20201210_MAK_72HPI_MOI_25_01,24096128
20201210_MAK_72HPI_MOI_25_02,23298524
20201210_MAK_72HPI_MOI_625_01,14017485
20201210_MAK_72HPI_MOI_625_02,13723863
20210711_MAK_HCMV_CDV_120_01,36926485
20210711_MAK_HCMV_CDV_120_02,62384760
20210711_MAK_HCMV_CDV_24_01,45251980
20210711_MAK_HCMV_CDV_24_02,73326178
20210711_MAK_HCMV_CDV_48_01,45750891
20210711_MAK_HCMV_CDV_48_02,73990245
20210711_MAK_HCMV_CDV_72_01,41021091
20210711_MAK_HCMV_CDV_72_02,52431351
20210711_MAK_HCMV_CDV_96_01,39545241
20210711_MAK_HCMV_CDV_96_02,62282005
20210711_MAK_HCMV_PBS_120_01,31543501
20210711_MAK_HCMV_PBS_120_02,61774935
20210711_MAK_HCMV_PBS_24_01,40515053
20210711_MAK_HCMV_PBS_24_02,61929229
20210711_MAK_HCMV_PBS_48_01,46373846
20210711_MAK_HCMV_PBS_48_02,43713451
20210711_MAK_HCMV_PBS_72_01,41410414
20210711_MAK_HCMV_PBS_72_02,55871168
20210711_MAK_HCMV_PBS_96_01,36642129
20210711_MAK_HCMV_PBS_96_02,53038957
20210915_MAK_ACV_12_01,22919720
20210915_MAK_ACV_12_02,22789894
20210915_MAK_ACV_18_01,19360588
20210915_MAK_ACV_18_02,19079978
20210915_MAK_ACV_2_01,21245799
20210915_MAK_ACV_2_02,21801701
20210915_MAK_ACV_6_01,22595302
20210915_MAK_ACV_6_02,23969951
20210915_MAK_CAY_12_01,21624582
20210915_MAK_CAY_12_02,19110643
20210915_MAK_CAY_18_01,24442059
20210915_MAK_CAY_18_02,24675154
20210915_MAK_CAY_2_01,20009336
20210915_MAK_CAY_2_02,19115453
20210915_MAK_CAY_6_01,19176558
20210915_MAK_CAY_6_02,15010376
20210915_MAK_DMSO_12_01,27054482
20210915_MAK_DMSO_12_02,28112385
20210915_MAK_DMSO_18_01,23845069
20210915_MAK_DMSO_18_02,17160917
20210915_MAK_DMSO_2_01,25898771
20210915_MAK_DMSO_2_02,15512733
20210915_MAK_DMSO_6_01,28612426
20210915_MAK_DMSO_6_02,23118050
20210919_MAK_ACV_12_01,33411876
20210919_MAK_ACV_12_02,23635819
20210919_MAK_ACV_18_01,28587205
20210919_MAK_ACV_18_02,23026079
20210919_MAK_ACV_2_01,23989921
20210919_MAK_ACV_2_02,20023855
20210919_MAK_ACV_6_01,25721920
20210919_MAK_ACV_6_02,23566439
20210919_MAK_CAY_12_01,25907961
20210919_MAK_CAY_12_02,20670940
20210919_MAK_CAY_18_01,20941631
20210919_MAK_CAY_18_02,20660998
20210919_MAK_CAY_2_01,22408012
20210919_MAK_CAY_2_02,22271182
20210919_MAK_CAY_6_01,31343855
20210919_MAK_CAY_6_02,20850693
20210919_MAK_DMSO_12_01,25676403
20210919_MAK_DMSO_12_02,20993742
20210919_MAK_DMSO_18_01,24902124
20210919_MAK_DMSO_18_02,20197092
20210919_MAK_DMSO_2_01,20692107
20210919_MAK_DMSO_2_02,20183056
20210919_MAK_DMSO_6_01,35852435
20210919_MAK_DMSO_6_02,22710653
20210925_MAK_ACV_12_01,18146608
20210925_MAK_ACV_12_02,14435878
20210925_MAK_ACV_18_01,14147684
20210925_MAK_ACV_18_02,15987777
20210925_MAK_ACV_2_01,13898013
20210925_MAK_ACV_2_02,10843488
20210925_MAK_CAY_12_01,15810394
20210925_MAK_CAY_12_02,16135157
20210925_MAK_CAY_18_01,8926113
20210925_MAK_CAY_18_02,9818581
20210925_MAK_CAY_2_01,11233549
20210925_MAK_CAY_2_02,9401336
20210925_MAK_CAY_6_01,10114327
20210925_MAK_CAY_6_02,8739186
20210925_MAK_DMSO_12_01,10080921
20210925_MAK_DMSO_12_02,12178131
20210925_MAK_DMSO_18_01,11279919
20210925_MAK_DMSO_18_02,14471494
20210925_MAK_DMSO_2_01,14138505
20210925_MAK_DMSO_2_02,11714580
20210925_MAK_DMSO_6_01,11459983
20210925_MAK_DMSO_6_02,14066656
20211021_MAK_CAY_6HPI_R1_01,14531202
20211021_MAK_CAY_6HPI_R1_02,15660973
20211021_MAK_CAY_6HPI_R2_01,12139620
20211021_MAK_CAY_6HPI_R2_02,15061248
20211021_MAK_CAY_6HPI_R3_01,12018714
20211021_MAK_CAY_6HPI_R3_02,15746657
20211021_MAK_DMSO_6HPI_R1_01,16210818
20211021_MAK_DMSO_6HPI_R1_02,17587528
20211021_MAK_DMSO_6HPI_R2_01,15385582
20211021_MAK_DMSO_6HPI_R2_02,16565585
20211021_MAK_DMSO_6HPI_R3_01,17088355
20211021_MAK_DMSO_6HPI_R3_02,17920850
20211021_MAK_HCMV_TB40_01,27503891
20211021_MAK_HCMV_TB40_02,27680768
20211021_MAK_HCMV_TB40_03,32414382
20211021_MAK_HCMV_TB40_04,35628527
20211021_MAK_HCMV_TB40_05,27054919
20211021_MAK_HCMV_TB40_missing_01,60042099
20211021_MAK_HCMV_TB40_missing_02,57083986
20211021_MAK_HCMV_TB40_missing_03,56940623
20211120_viral_proteins_12HPI_R1_01,8658942
20211120_viral_proteins_12HPI_R1_02,5258142
20211120_viral_proteins_12HPI_R2_01,9783929
20211120_viral_proteins_12HPI_R2_02,5731633
20211120_viral_proteins_12HPI_R3_01,8896000
20211120_viral_proteins_12HPI_R3_02,5996615
20211120_viral_proteins_18HPI_R1_01,11004901
20211120_viral_proteins_18HPI_R1_02,7290496
20211120_viral_proteins_18HPI_R2_01,13134594
20211120_viral_proteins_18HPI_R2_02,7896626
20211120_viral_proteins_18HPI_R3_01,13805933
20211120_viral_proteins_18HPI_R3_02,7025989
20211120_viral_proteins_2HPI_R1_01,9295256
20211120_viral_proteins_2HPI_R1_02,5326867
20211120_viral_proteins_2HPI_R2_01,10586603
20211120_viral_proteins_2HPI_R2_02,5926022
20211120_viral_proteins_2HPI_R3_01,9617571
20211120_viral_proteins_2HPI_R3_02,5325904
20211120_viral_proteins_6HPI_R1_01,9278977
20211120_viral_proteins_6HPI_R1_02,5201062
20211120_viral_proteins_6HPI_R2_01,11418096
20211120_viral_proteins_6HPI_R2_02,6353276
20211120_viral_proteins_6HPI_R3_01,9120896
20211120_viral_proteins_6HPI_R3_02,5351170
HCMV_CPS1_24,2022745
HCMV_CPS1_48,1866933
HCMV_CPS1_72,2235779
HCMV_CTRL_24 (2),1711007
HCMV_CTRL_48,1533020
HCMV_CTRL_72,1800510
siCPS1_24HPI,4011059
siCPS1_48HPI,4349106
siCPS1_72HPI,5701252
siCTRL_24HPI,3597136
siCTRL_48HPI,3936012
siCTRL_72HPI,5087132
